;Pos.;Participante;Meio de indicação;% dos votos;Eliminado em;edicao;Porcentagem/ Pontos;Porcentagem/ Votos
316;15;Gustavo Soares;Líder (Hana);;Semana 2;19;;78,94%[177]
317;16;Vanderson Brito;Expulso[61];;Semana 2;19;;—
318;17;Vinicius Póvoa;Prova de Imunidade;;Semana 1;19;;3,73%[22]
319;1;Thelma Assis;Finalista;44,10%[223];—;20;;
320;2;Rafa Kalimann;Finalista;34,81%[223];—;20;;
321;3;Manu Gavassi;Finalista;21,09%[224];—;20;;
322;4;Babu Santana;Prova do Finalista;57,15%[225];Semana 14;20;;
323;5;Mari Gonzalez;Líder (Rafa);54,16%[226];Semana 13;20;;
324;6;Ivy Moraes;Casa (4 votos);74,17%[227];Semana 13;20;;
325;7;Gizelly Bicalho;Casa (2 votos);54,79%[228];Semana 12;20;;
326;8;Flayslane Raiane;Casa (3 votos);63%[229];Semana 12;20;;
327;9;Marcela Mc Gowan;Casa (2 votos);49,76%[230];Semana 11;20;;
328;10;Gabi Martins;Contragolpe (Babu);59,61%[231];Semana 11;20;;
329;11;Felipe Prior;Líder (Gizelly);56,73%[232];Semana 10;20;;
330;12;Daniel Lenhardt;Prova do Líder;80,82%[233];Semana 9;20;;
331;13;Pyong Lee;Líder (Felipe);51,70%[234];Semana 8;20;;
332;14;Victor Hugo Teixeira;Líder (Pyong);85,22%[235];Semana 7;20;;
333;15;Guilherme Napolitano;Líder (Ivy);56,07%[236];Semana 6;20;;
334;16;Bianca Andrade;Líder (Rafa);53,09%[237];Semana 5;20;;
335;17;Lucas Gallina;Líder (Guilherme);62,62%[238];Semana 4;20;;
336;18;Hadson Nery;Líder (Gabi);79,71%[239];Semana 3;20;;
337;19;Petrix Barbosa;Poder Surpresa (Pyong);80,27%[240];Semana 2;20;;
338;20;Lucas Chumbo;Casa (4 votos);75,54%[241];Semana 1;20;;
339;21–22;Daniel Caon;Casa de Vidro;41,17%[22];Semana 2;20;;
340;21–22;Renata Dornelles;Casa de Vidro;38,55%[22];Semana 2;20;;
341;1;Juliette Freire;Finalista;90,15%[2];—;21;;
342;2;Camilla de Lucas;Finalista;5,23%[2];—;21;;
343;3;Fiuk;Finalista;4,62%[2];—;21;;
344;4;Gilberto Nogueira;Prova do Finalista;50,87%[64];Semana 14;21;;
345;5;Pocah;Líder (Juliette);73,16%[272];Semana 14;21;;
346;6;Arthur Picoli;Casa (3 votos);61,34%[62];Semana 13;21;;
347;7;Viih Tube;Casa (3 votos);96,69%[273];Semana 13;21;;
348;8;João Luiz Pedrosa;Casa (2 votos);58,86%[274];Semana 13;21;;
349;9;Caio Afiune;Casa (3 votos);70,22%[275];Semana 12;21;;
350;10;Thaís Braz;Líder (Caio);82,29%[276];Semana 11;21;;
351;11;Rodolffo Matthaus;Casa (4 votos);50,48%[61];Semana 10;21;;
352;12;Sarah Andrade;Casa (5 votos);76,76%[60];Semana 9;21;;
353;13;Carla Diaz;Prova do Líder;44,96%[58];Semana 8;21;;
354;14;Projota;Líder (Fiuk);91,89%[277];Semana 7;21;;
355;15;Lumena Aleluia;Big Fone (Carla);61,31%[278];Semana 5;21;;
356;16;Karol Conká;Líder (Sarah);99,17%[217];Semana 4;21;;
357;17;Nego Di;Contragolpe (Sarah);98,76%[213];Semana 3;21;;
358;18;Arcrebiano Araújo;Casa (9 votos);64,89%[279];Semana 2;21;;
359;19;Lucas Penteado;Desistente[172];—;Semana 2;21;;
360;20;Kerline Cardoso;Líder (Nego Di);83,50%[280];Semana 1;21;;
361;1;Arthur Aguiar;Finalista;68,96%[3];—;22;;
362;2;Paulo André Camilo;Finalista;29,91%[3];—;22;;
363;3;Douglas Silva;Finalista;1,13%[3];—;22;;
364;4;Eliezer do Carmo;Prova do Finalista;65,76%[191];Semana 14;22;;
365;5;Pedro Scooby;Casa (3 votos);55,95%[192];Semana 14;22;;
366;6;Gustavo Marsengo;Casa (4 votos);81,53%[193];Semana 13;22;;
367;7;Jessilane Alves;Líder (Gustavo);63,63%[194];Semana 13;22;;
368;8;Natália Deodato;Casa (5 votos);83,43%[195];Semana 12;22;;
369;9;Linn da Quebrada;Líder (Douglas);77,60%[196];Semana 12;22;;
370;10;Eslovênia Marques;Líder (Gustavo);80,74%[197];Semana 11;22;;
371;11;Lucas Bissoli;Casa (6 votos);77,54%[198];Semana 10;22;;
372;12;Laís Caldas;Líder (Arthur);91,25%[199];Semana 9;22;;
373;13;Vinicius de Sousa;Contragolpe (Gustavo);55,87%[200];Semana 8;22;;
374;14;Jade Picon;Big Fone;84,93%[201];Semana 7;22;;
375;15;Larissa Tomásia;Casa (3 votos);88,59%[202];Semana 6;22;;
376;16;Tiago Abravanel;Desistente[178];—;Semana 6;22;;
377;17;Brunna Gonçalves;Líder (Lucas);76,18%[203];Semana 5;22;;
378;18;Bárbara Heck;Contragolpe (Arthur);86,02%[204];Semana 4;22;;
379;19;Maria;Expulsa[171];—;Semana 4;22;;
380;20;Naiara Azevedo;Prova do Líder (Consequência Surpresa);57,77%[205];Semana 3;22;;
381;21;Rodrigo Mussi;Líder (Tiago);48,45%[206];Semana 2;22;;
382;22;Luciano Estevan;Contragolpe (Naiara);49,31%[207];Semana 1;22;;
